Date,Name,Type
2020-01-01,New Year's Day,Federal Holiday
2020-01-06,Epiphany,Christian
2020-01-07,Asarah B'Tevet,Jewish holiday
2020-01-07,Orthodox Christmas Day,Orthodox
2020-01-07,Estelle Reel Day,State Observance
2020-01-08,Battle of New Orleans,State Legal Holiday
2020-01-13,Stephen Foster Memorial Day,Observance
2020-01-14,Orthodox New Year,Orthodox
2020-01-17,Lee-Jackson Day,State Holiday
2020-01-19,Robert E. Lee's Birthday,State Legal Holiday
2020-01-19,State Holiday,State Observance
2020-01-19,Confederate Heroes' Day,State Holiday
2020-01-20,Martin Luther King Jr. Day,Federal Holiday
2020-01-20,Robert E. Lee's Birthday,State Holiday
2020-01-20,Idaho Human Rights Day,State Holiday
2020-01-20,Civil Rights Day,State Holiday
2020-01-25,Lunar New Year,Observance
2020-01-29,Kansas Day,State Observance
2020-01-01,National Freedom Day,Observance
2020-01-01,First Day of Black History Month,Annual Monthly Observance
2020-01-02,Groundhog Day,Observance
2020-01-02,Super Bowl,Sporting Event
2020-01-04,Rosa Parks Day,Local Observance
2020-01-04,Rosa Parks Day,State Observance
2020-01-05,National Girls and Women in Sports Day,Observance
2020-01-06,Ronald Reagan Day,State Observance
2020-01-07,National Wear Red Day,Observance
2020-01-10,Tu Bishvat/Tu B'Shevat,Jewish holiday
2020-01-12,Lincoln's Birthday,State Holiday
2020-01-12,Lincoln's Birthday,State Legal Holiday
2020-01-12,Georgia Day,State Observance
2020-01-14,Valentine's Day,Observance
2020-01-14,Statehood Day,Local Observance
2020-01-15,Susan B. Anthony's Birthday,State Observance
2020-01-16,Elizabeth Peratrovich Day,State Observance
2020-01-17,Presidents' Day,Federal Holiday
2020-01-17,Presidents' Day,State Holiday
2020-01-17,Presidents' Day,State Legal Holiday
2020-01-17,Daisy Gatson Bates Day,State Holiday
2020-01-21,Maha Shivaratri,Hindu Holiday
2020-01-25,African-American Scientist and Inventor Day,State Observance
2020-01-25,Shrove Tuesday/Mardi Gras,State Holiday
2020-01-25,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2020-01-25,George Rogers Clark Day,State Observance
2020-01-26,Ash Wednesday,Christian
2020-01-28,Linus Pauling Day,Local Observance
2020-01-01,St. David's Day,"Observance, Christian"
2020-01-01,First Day of Women's History Month,Annual Monthly Observance
2020-01-01,First Day of Irish American Heritage Month,Annual Monthly Observance
2020-01-02,Texas Independence Day,State Holiday
2020-01-02,Casimir Pulaski Day,State Observance
2020-01-02,Read Across America Day,Observance
2020-01-03,Super Tuesday,Observance
2020-01-03,Town Meeting Day,State Holiday
2020-01-04,Casimir Pulaski Day,State Observance
2020-01-06,Employee Appreciation Day,Observance
2020-01-08,Daylight Saving Time starts,Clock Change/Daylight Saving Time
2020-01-09,Holi,Hindu Holiday
2020-01-10,Purim,Jewish holiday
2020-01-17,St. Patrick's Day,"Observance, Christian"
2020-01-17,Evacuation Day,State Holiday
2020-01-19,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-19,March Equinox,Season
2020-01-20,First Day of Stay at Home Directive,COVID-19 Lockdown
2020-01-21,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-22,Isra and Mi'raj,Muslim
2020-01-22,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-23,"First Day of Stay Safe, Stay Home Order",COVID-19 Lockdown
2020-01-24,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-25,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-25,Maryland Day,State Observance
2020-01-26,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-26,Prince Jonah Kuhio Kalanianaole Day,State Holiday
2020-01-27,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-28,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-29,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-29,National Vietnam War Veterans Day,Observance
2020-01-30,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-30,Wyoming Veterans Welcome Home Day,State Observance
2020-01-30,Doctors' Day,Observance
2020-01-30,Seward's Day,State Holiday
2020-01-30,Vietnam Veterans Day,State Observance
2020-01-31,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-31,César Chávez Day,State Holiday
2020-04-01,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-02,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-02,Pascua Florida Day,Local Observance
2020-04-03,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-04,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-05,Palm Sunday,Christian
2020-04-06,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-06,National Tartan Day,Observance
2020-04-07,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-08,Passover Eve,Jewish holiday
2020-04-09,Maundy Thursday,Christian
2020-04-09,Passover (first day),Jewish holiday
2020-04-09,National Former Prisoner of War Recognition Day,Observance
2020-04-10,Good Friday,State Holiday
2020-04-10,State Holiday,State Holiday
2020-04-11,Holy Saturday,Christian
2020-04-12,Easter Sunday,"Observance, Christian"
2020-04-13,Easter Monday,"Observance, Christian"
2020-04-13,Thomas Jefferson's Birthday,Observance
2020-04-15,Father Damien Day,Local Observance
2020-04-16,Last Day of Passover,Jewish holiday
2020-04-16,Emancipation Day,State Holiday
2020-04-17,Orthodox Good Friday,Orthodox
2020-04-17,Arbor Day,State Observance
2020-04-18,Orthodox Holy Saturday,Orthodox
2020-04-19,Orthodox Easter,Orthodox
2020-04-20,Orthodox Easter Monday,Orthodox
2020-04-20,Patriots' Day,State Holiday
2020-04-21,Yom HaShoah,Jewish commemoration
2020-04-21,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-04-21,San Jacinto Day,State Holiday
2020-04-21,National Library Workers' Day,Observance
2020-04-22,Oklahoma Day,Local Observance
2020-04-22,Administrative Professionals Day,Observance
2020-04-23,Take our Daughters and Sons to Work Day,Observance
2020-04-24,Ramadan Starts,Muslim
2020-04-24,Last Day of Stay at Home Directive,COVID-19 Lockdown
2020-04-24,Arbor Day,State Holiday
2020-04-24,Arbor Day,State Observance
2020-04-26,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-04-26,Confederate Memorial Day,State Legal Holiday
2020-04-26,State Holiday,State Observance
2020-04-27,Arbor Day,State Observance
2020-04-27,Confederate Memorial Day,State Holiday
2020-04-27,Confederate Memorial Day observed,State Legal Holiday
2020-04-29,Yom Ha'atzmaut,Jewish holiday
2020-04-30,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-01,Last Day of Stay at Home Directive,COVID-19 Lockdown
2020-01-01,Kentucky Oaks,Sporting Event
2020-01-01,Law Day,Observance
2020-01-01,Loyalty Day,Observance
2020-01-01,Lei Day,Local Observance
2020-01-01,First Day of Military Appreciation Month,Annual Monthly Observance
2020-01-01,First Day of Asian Pacific American Heritage Month,Annual Monthly Observance
2020-01-01,First Day of Jewish American Heritage Month,Annual Monthly Observance
2020-01-02,National Explosive Ordnance Disposal (EOD) Day,Observance
2020-01-03,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-04,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-04,Kent State Shootings Remembrance,Local Observance
2020-01-04,Rhode Island Independence Day,State Observance
2020-01-05,Cinco de Mayo,Observance
2020-01-05,National Teacher Appreciation Day,Observance
2020-01-06,National Nurses Day,Observance
2020-01-07,National Day of Prayer,Observance
2020-01-07,West Virginia Day of Prayer,State Observance
2020-01-08,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-08,Truman Day,State Holiday
2020-01-08,Victory in Europe Day,Observance
2020-01-08,Native American Day,State Observance
2020-01-08,Military Spouse Appreciation Day,State Observance
2020-01-08,Military Spouse Appreciation Day,Observance
2020-01-10,Mother's Day,Observance
2020-01-10,Mother's Day,State Holiday
2020-01-10,Confederate Memorial Day,State Holiday
2020-01-10,Confederate Memorial Day,Local Observance
2020-01-11,Confederate Memorial Day observed,State Holiday
2020-01-12,Lag BaOmer,Jewish holiday
2020-01-13,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-15,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-15,Peace Officers Memorial Day,Observance
2020-01-15,National Defense Transportation Day,Observance
2020-01-16,Public Lands Day,State Observance
2020-01-16,Armed Forces Day,Observance
2020-01-16,Preakness Stakes,Sporting Event
2020-01-17,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-18,Last Day of Stay at Home Advisory,COVID-19 Lockdown
2020-01-19,Lailat al-Qadr,Muslim
2020-01-19,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-20,"Last Day of Stay Safe, Stay Home Order",COVID-19 Lockdown
2020-01-20,Emergency Medical Services for Children Day,Observance
2020-01-21,Ascension Day,Christian
2020-01-22,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-22,National Maritime Day,Observance
2020-01-22,Harvey Milk Day,Local Observance
2020-01-24,Eid al-Fitr,Muslim
2020-01-25,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-25,Memorial Day,Federal Holiday
2020-01-25,Memorial Day,State Holiday
2020-01-25,Jefferson Davis' Birthday,Local Observance
2020-01-25,National Missing Children's Day,Observance
2020-01-29,Shavuot,Jewish holiday
2020-01-29,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-30,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-31,Pentecost,Christian
2020-01-31,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-01,Whit Monday,Christian
2020-01-01,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-01,First Day of Pride Month,Annual Monthly Observance
2020-01-01,First Day of Caribbean-American Heritage Month,Annual Monthly Observance
2020-01-01,Statehood Day,Local Observance
2020-01-01,Jefferson Davis' Birthday,State Holiday
2020-01-03,Jefferson Davis' Birthday,Local Observance
2020-01-06,D-Day,Observance
2020-01-06,Belmont Stakes,Sporting Event
2020-01-07,Trinity Sunday,Christian
2020-01-07,Native American Day,State Holiday
2020-01-09,Primary Election Day,State Holiday
2020-01-10,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-11,Corpus Christi,Christian
2020-01-11,Kamehameha Day,State Holiday
2020-01-12,Loving Day,Observance
2020-01-14,Army Birthday,Observance
2020-01-14,Flag Day,Observance
2020-01-17,Bunker Hill Day,Local Holiday
2020-01-19,Juneteenth,Observance
2020-01-19,Juneteenth,State Observance
2020-01-19,Juneteenth National Freedom Day,State Holiday
2020-01-19,Emancipation Day,State Holiday
2020-01-20,Juneteenth National Freedom Day,State Observance
2020-01-20,West Virginia Day,State Holiday
2020-01-20,American Eagle Day,Observance
2020-01-20,June Solstice,Season
2020-01-21,Father's Day,State Holiday
2020-01-21,Father's Day,Observance
2020-01-21,Juneteenth Independence Day,State Observance
2020-01-28,Carolina Day,State Observance
2020-01-03,Independence Day (substitute),Federal Holiday
2020-01-03,Independence Day (substitute),State Holiday
2020-01-04,Independence Day,Federal Holiday
2020-01-04,Independence Day,State Holiday
2020-01-13,Nathan Bedford Forrest Day,Local Observance
2020-01-14,Bastille Day,Observance
2020-01-15,Tax Day,Observance
2020-01-16,Rural Transit Day,Observance
2020-01-24,Pioneer Day,State Holiday
2020-01-26,Parents' Day,Observance
2020-01-27,Korean War Veteran Recognition Day,State Observance
2020-01-27,National Korean War Veterans Armistice Day,Observance
2020-01-30,Tisha B'Av,Jewish holiday
2020-01-31,Eid al-Adha,Muslim
2020-08-01,Colorado Day,State Observance
2020-08-02,American Family Day,State Holiday
2020-08-03,Raksha Bandhan,Hindu Holiday
2020-08-04,Coast Guard Birthday,Observance
2020-08-04,Barack Obama Day,Observance
2020-08-07,Purple Heart Day,State Observance
2020-08-07,Purple Heart Day,Observance
2020-08-10,Janmashtami,Hindu Holiday
2020-08-10,Victory Day,State Holiday
2020-08-15,Assumption of Mary,Christian
2020-08-16,National Navajo Code Talkers Day,State Holiday
2020-08-16,Bennington Battle Day,State Holiday
2020-08-16,National Senior Citizens Day,Observance
2020-08-17,Bennington Battle Day observed,State Holiday
2020-08-19,National Aviation Day,Observance
2020-08-20,Muharram,Muslim
2020-08-21,Ganesh Chaturthi,Hindu Holiday
2020-08-21,Hawaii Statehood Day,State Holiday
2020-08-26,Susan B. Anthony Day,State Observance
2020-08-26,Women's Equality Day,Observance
2020-08-27,Lyndon Baines Johnson Day,State Holiday
2020-08-28,Last Day of Stay at Home Instructions,COVID-19 Lockdown
2020-08-29,Ashura,Muslim
2020-01-05,Kentucky Derby,Sporting Event
2020-01-07,Labor Day,Federal Holiday
2020-01-09,California Admission Day,State Holiday
2020-01-11,First Responders Day,State Observance
2020-01-11,Patriot Day,Observance
2020-01-11,Patriot Day,State Observance
2020-01-12,Carl Garner Federal Lands Cleanup Day,Observance
2020-01-12,Native American Day,State Observance
2020-01-13,National Grandparents Day,Observance
2020-01-13,Constitution Commemoration Day,State Holiday
2020-01-15,First Day of National Hispanic Heritage Month,Annual Monthly Observance
2020-01-17,Constitution Day and Citizenship Day,Observance
2020-01-18,Air Force Birthday,Observance
2020-01-18,National POW/MIA Recognition Day,Observance
2020-01-19,Rosh Hashana,Jewish holiday
2020-01-19,National CleanUp Day,Observance
2020-01-19,Rosh Hashana,State Holiday
2020-01-22,Emancipation Day,Local Observance
2020-01-22,September Equinox,Season
2020-01-25,Native American Day,State Observance
2020-01-25,American Indian Heritage Day,State Observance
2020-01-25,Michigan Indian Day,State Observance
2020-01-26,Public Lands Day,State Observance
2020-01-26,National Public Lands Day,Observance
2020-01-27,Gold Star Mother's Day,Observance
2020-01-28,Yom Kippur,Jewish holiday
2020-01-28,American Indian Day,State Observance
2020-01-28,Yom Kippur,State Holiday
2020-10-03,First Day of Sukkot,Jewish holiday
2020-10-04,Feast of St Francis of Assisi,Christian
2020-10-05,Frances Xavier Cabrini Day,State Holiday
2020-10-05,Child Health Day,Observance
2020-10-06,German American Day,Observance
2020-10-09,Last Day of Sukkot,Jewish holiday
2020-10-09,Leif Erikson Day,Observance
2020-10-09,Leif Erikson Day,Local Observance
2020-10-10,Shmini Atzeret,Jewish holiday
2020-10-10,Robert E. Lee's Birthday,State Observance
2020-10-10,Chicago Marathon,Canceled
2020-10-11,Simchat Torah,Jewish holiday
2020-10-11,Casimir Pulaski Day,State Observance
2020-10-12,Columbus Day,Federal Holiday
2020-10-12,Columbus Day,State Legal Holiday
2020-10-12,Columbus Day,State Holiday
2020-10-12,Fraternal Day,State Holiday
2020-10-12,Yorktown Victory Day,State Holiday
2020-10-12,Discoverers’ Day,State Observance
2020-10-12,Native American Day,State Observance
2020-10-12,Native American Day,State Holiday
2020-10-12,Indigenous People's Day,State Observance
2020-10-12,Indigenous People's Day,State Holiday
2020-10-12,American Indian Heritage Day,State Holiday
2020-10-13,Navy Birthday,Observance
2020-10-15,White Cane Safety Day,Observance
2020-10-16,Boss's Day,Observance
2020-10-17,Navratri,Hindu Holiday
2020-10-17,Sweetest Day,Observance
2020-10-18,Alaska Day,State Holiday
2020-10-19,Alaska Day observed,State Holiday
2020-10-25,Dussehra,Hindu Holiday
2020-10-29,The Prophet's Birthday,Muslim
2020-10-30,Nevada Day,State Holiday
2020-10-31,Halloween,Observance
2020-01-01,All Saints' Day,Christian
2020-01-01,First Day of Native American Heritage Month,Annual Monthly Observance
2020-01-01,Daylight Saving Time ends,Clock Change/Daylight Saving Time
2020-01-02,All Souls' Day,Christian
2020-01-03,Election Day (General Election),Observance
2020-01-03,Election Day,State Holiday
2020-01-03,Susan B. Anthony Day,State Observance
2020-01-05,Return Day,State Holiday
2020-01-09,Barack Obama Day,Local Observance
2020-01-10,Marine Corps Birthday,Observance
2020-01-11,Veterans Day,Federal Holiday
2020-01-14,Diwali/Deepavali,Hindu Holiday
2020-01-19,George Rogers Clark Day,State Observance
2020-01-26,Thanksgiving Day,Federal Holiday
2020-01-27,State Holiday,State Holiday
2020-01-27,Presidents' Day (Observed),State Holiday
2020-01-27,Lincoln's Birthday/Lincoln's Day,State Holiday
2020-01-27,Day After Thanksgiving,State Holiday
2020-01-27,Black Friday,Observance
2020-01-27,American Indian Heritage Day,State Holiday
2020-01-27,Native American Heritage Day,State Holiday
2020-01-27,Native American Heritage Day,Observance
2020-01-29,First Sunday of Advent,Christian
2020-01-29,Nellie Tayloe Ross's Birthday,State Observance
2020-01-30,Cyber Monday,Observance
2020-12-01,Rosa Parks Day,State Observance
2020-12-01,Rosa Parks Day,Local Observance
2020-12-01,Giving Tuesday,Observance
2020-12-06,St Nicholas Day,Observance
2020-12-07,Pearl Harbor Remembrance Day,State Observance
2020-12-07,Pearl Harbor Remembrance Day,Observance
2020-12-07,Delaware Day,State Observance
2020-12-08,Feast of the Immaculate Conception,Christian
2020-12-10,Wyoming Day,State Observance
2020-12-11,Chanukah/Hanukkah (first day),Jewish holiday
2020-12-12,Feast of Our Lady of Guadalupe,Christian
2020-12-13,National Guard Birthday,Observance
2020-12-15,Bill of Rights Day,Observance
2020-12-17,Pan American Aviation Day,Observance
2020-12-17,Wright Brothers Day,Observance
2020-12-18,Last Day of Chanukah,Jewish holiday
2020-12-21,December Solstice,Season
2020-12-24,Christmas Eve,Federal Holiday
2020-12-24,Christmas Eve,"Observance, Christian"
2020-12-24,Christmas Eve,State Holiday
2020-12-24,Washington's Birthday,State Holiday
2020-12-25,Asarah B'Tevet,Jewish holiday
2020-12-25,Christmas Day,Federal Holiday
2020-12-25,Christmas Day,State Holiday
2020-12-26,Kwanzaa (first day),Observance
2020-12-26,Day After Christmas Day,State Holiday
2020-12-31,New Year's Eve,State Holiday
2020-12-31,New Year's Eve,Observance
